# meta={"format": "probe_hits_points", "version": "1.0", "exported_at": "2025-09-28T18:34:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-25.0, 10, -25.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 5.0, "dv": 5.0, "nu": 10, "nv": 10}, "summary": {"unique_hit_cells": 72, "total_hits": 13563}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 20000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold"}}
# columns=i,j,x,y,z,incident_peak_pressure_kpa,reflected_peak_pressure_kpa,incident_impulse,reflected_impulse,arrive_time_ms,constant_time_ms,friedlander_beta
i,j,x,y,z,incident_peak_pressure_kpa,reflected_peak_pressure_kpa,incident_impulse,reflected_impulse,arrive_time_ms,constant_time_ms,friedlander_beta
1,5,-17.708074428307015,10.000000494287407,0.4634576525537779,163.11782898204294,978.7069738922576,749.4735971229968,0.0,21.130776055853815,18.712642495556384,3.5334977335450475
1,5,-17.537491535196807,10.000000468117276,2.828598504440618,162.35309236751996,974.1185542051198,748.0088687645541,0.0,21.213251782248783,18.755729569723844,3.5307966876085937
1,5,-17.792248644585847,10.000000547028236,1.377233314322676,161.12022561788132,966.7213537072879,745.6502861690201,0.0,21.347781904523313,18.826847087879333,3.526649952984905
1,5,-17.499058789177997,10.000000339555552,3.7480477699697476,160.36201866917608,962.1721120150564,744.2016309792309,0.0,21.431494591277005,18.871626984128433,3.524230619406603
1,5,-17.830203469859605,9.999998958604241,2.300948334268583,159.1397564978927,954.8385389873563,741.8696314337117,0.0,21.568042045617027,18.94554203138831,3.5205473109885905
1,5,-17.41336433885702,9.999999127470259,4.671206795225755,158.38804966012762,950.3282979607657,740.4376073283089,0.0,21.653017719400033,18.992090085355223,3.5184186361390997
1,5,-18.04181723104903,9.999999243614525,0.8247116664831787,157.92395206881994,947.5437124129196,739.5543758222703,0.0,21.705866127306923,19.02125327863876,3.5171576641434665
1,5,-17.821161696446662,9.999999798928698,3.232317291838091,157.17625367789103,943.0575220673461,738.1329211810287,0.0,21.791635382203843,19.068933783625777,3.515213397148974
1,5,-18.110202184473934,10.000000699757278,1.7579331444815072,155.97095647416702,935.8257388450022,735.8456709320452,0.0,21.931548740906663,19.14765079191034,3.512311686006838
1,5,-17.764444655964944,10.000000390522457,4.169000859817625,155.2297853456912,931.3787120741472,734.4418905559613,0.0,22.018615948845977,19.197226264438058,3.510673881467962
1,5,-18.277404187011257,10.000000127848342,0.2578440769030888,154.7722094504991,928.6332567029947,733.5763315987211,0.0,22.07276651622477,19.228289078195232,3.509719892763756
1,5,-18.131300907297273,10.0000005507859,2.700449608195959,154.03502503466262,924.2101502079757,732.1836901742478,0.0,22.1606537952255,19.27908167839738,3.508276608967904
1,5,-18.376901228472082,9.999999515844932,1.199736408027228,152.84679421627663,917.0807652976598,729.9439687327969,0.0,22.304022690356717,19.362946808535632,3.506199808896596
1,5,-18.104354420539636,9.999999436647856,3.6499193839503663,152.11610730817978,912.6966438490787,728.5699271387563,0.0,22.393250697457944,19.415777335275482,3.5050800866708904
1,5,-18.42888218896434,9.999999067023358,2.1525966340982805,150.93833809185492,905.6300285511295,726.3606964585024,0.0,22.538817478893872,19.503021230353106,3.5035361644382896
1,5,-18.028719815932654,9.999999528968148,4.603949988463414,150.21410370981272,901.2846222588763,725.0057696064148,0.0,22.629416842374024,19.557987182817985,3.502751359103829
1,5,-18.62973558274744,10.000001251943244,0.6265586493197771,149.76695826831954,898.6017496099173,724.170652771029,0.0,22.68577334955766,19.592437914389706,3.5023310395228258
1,5,-18.432501454442185,9.999999863762719,3.114083971761464,149.04677866807825,894.2806720084695,722.827961911368,0.0,22.777224993333167,19.648768548494413,3.5017593384708903
1,5,-18.713323398416385,9.999999147174156,1.5889270722513134,147.88594932165668,887.3156959299401,720.6701283908615,0.0,22.92643467589255,19.741816429537995,3.5011185077008653
1,5,-18.387018882030652,9.999999119764187,4.081800298769231,147.1721782556302,883.0330695337811,719.3474219198772,0.0,23.01930511513693,19.800450856414766,3.5009015803943755
1,5,-18.868118406642473,9.999999932507002,0.038613869013662885,146.73152702070792,880.3891621242475,718.5324630783274,0.0,23.077073642264725,19.83720420209264,3.5008367858295233
1,5,-18.74828496455214,10.00000155351014,2.5616292122828606,146.02168768277468,876.1301260966482,717.2223438676689,0.0,23.170838634255965,19.897320374473374,3.5008457833661266
1,5,-18.984033048126637,9.99999995978345,1.0096231091334538,144.87776841660616,869.266610499637,715.1183073438846,0.0,23.32380672014539,19.996628551725536,3.501162595651096
1,5,-18.73377805430486,9.999999009647443,3.5422644551394966,144.17444474685686,865.0466684811412,713.8292916122713,0.0,23.419019965330097,20.059221662118578,3.5015481997938784
1,5,-19.05109534144518,10.000000756141322,1.992703677982913,143.04083072593153,858.2449843555892,711.7594222770243,0.0,23.574387931555144,20.162658845568835,3.502486459678296
1,5,-18.669110360662742,10.000000471321783,4.528381408482187,142.34391015863645,854.0634609518187,710.4918523416644,0.0,23.67109228022791,20.22786077459087,3.5032632513789004
1,5,-19.24041860537196,10.000000563527625,0.41488188338723014,141.91370263755726,851.4822158253436,709.7113251545065,0.0,23.731246455022703,20.268739320543688,3.503820848378336
1,5,-19.06838477329395,9.999999565610146,2.9854581520293233,141.2207689125244,847.3246134751464,708.457330837052,0.0,23.82888270891727,20.3356156725216,3.504847072775142
1,5,-19.340330944066462,9.999998910536654,1.4074722045654124,140.1040339305502,840.6242035833012,706.4449599960177,0.0,23.988203153772332,20.446153613155634,3.506842780483431
1,5,-19.035106644549487,9.99999950199689,3.9854303701071436,139.41745718033837,836.5047430820302,705.2131755833385,0.0,24.08738338091682,20.515857827806816,3.5082856779359433
1,5,-19.39022011428707,9.999999151446831,2.4115110127377792,138.3110737065192,829.8664422391153,703.2372744881076,0.0,24.24921895241895,20.631083320506033,3.510969443438936
1,5,-18.950578764256832,10.000000702637518,4.990109311570068,137.63086252150785,825.785175129047,702.0282097035148,0.0,24.349971748175236,20.70375906028659,3.512846013035412
1,5,-19.615393326706148,9.999999709603095,0.806114111295463,137.21105876880804,823.2663526128483,701.284255144266,0.0,24.412637982415813,20.749329352590916,3.5140926819993505
1,5,-19.389190790641372,10.000000354567137,3.4245419805538306,136.53482089702905,819.2089253821744,700.0895376010029,0.0,24.51437229955156,20.823914158614876,3.5162461675865044
1,5,-19.698672252887445,10.000001005997413,1.8205683954479688,135.44513367259492,812.6708020355695,698.1741786729522,0.0,24.68038899680168,20.947248451081386,3.520104216528072
1,5,-19.336461193168013,9.999999578905031,4.4440482107897905,134.77532988596795,808.6519793158077,697.00303749385,0.0,24.7837346340385,21.02505079055507,3.5227208118425435
1,5,-19.875668554143726,9.999999466156016,0.18882224608354842,134.36188535322682,806.1713121193609,696.2825463576386,0.0,24.848028047546613,21.07385449633575,3.5244317568149595
1,5,-19.730727727111635,9.999999719712548,2.845824424105134,133.695967542442,802.175805254652,692.7329186287727,0.0,24.952399484645273,20.950061663279218,3.4892784580408165
1,5,-19.993109471313982,9.999999282946018,1.2127881953630257,132.62298529452312,795.7379117671387,690.3258139540342,0.0,25.122727404807655,21.03290111594189,3.485412212421288
1,5,-19.710695332476803,9.999999271749322,3.8793654907922113,131.96342944347154,791.7805766608292,688.8355166103016,0.0,25.228772429995782,21.08405797574847,3.482989160084569
1,5,-19.637823533330394,9.999999287294992,4.918615816730709,130.2474985278246,781.4849911669476,684.9196777142096,0.0,25.509596354318834,21.218002137198848,3.4765179466702376
1,5,-15.930048291700423,9.999999544428414,4.970676581012826,178.63583093472022,0.0,288.93740983026123,0.0,34.93245092780996,6.661975361360969,3.601827751727995
1,5,-15.966646116374243,9.999999786634536,4.336179795761394,180.34178988895255,0.0,314.3067177987493,0.0,36.465940530683156,7.31473349101122,3.7150853804818627
1,5,-16.67062611920397,9.99999995210216,4.647734849853742,171.6197433290196,0.0,294.0136853048744,0.0,36.65244229490155,7.018393554113155,3.569311634852445
1,5,-17.375134989344186,9.99999960928741,4.984432039509424,162.9059954063217,0.0,272.8978567181229,0.0,36.82145421236726,6.707878471287605,3.429551625269888
1,5,-16.722600425416907,10.000000072822148,3.9857455486178193,173.22960688110192,0.0,318.8004570700679,0.0,38.25802299583137,7.680941074067394,3.6816173269747674
1,5,-17.451576335798826,10.00000024571878,4.313266947513457,164.6227683234421,0.0,298.3219454504047,0.0,38.47304658149552,7.382434362060515,3.5352388438163564
1,5,-16.766617771150457,10.000000030210307,3.304397132921588,174.624834687991,0.0,342.3260923557628,0.0,39.89458880319428,8.34338577009904,3.798512026164015
1,5,-18.18128430514168,9.999999451722006,4.666866909181933,156.0408289478288,0.0,277.0787882751735,0.0,38.671579925631804,7.071549946066931,3.3957102670672454
1,5,-17.52074720977741,10.000000611307314,3.6218989984652152,166.13584606828806,0.0,322.51209388756683,0.0,40.157006693048416,8.054858078620594,3.646408607571005
1,5,-18.276483074716257,9.999999760504076,3.966049786868113,157.6569527852722,0.0,301.8844144332802,0.0,40.40436776029438,7.755513936695691,3.499787179613008
1,5,-17.582367089127494,9.999999952756697,2.909424808854685,167.4372832843705,0.0,345.4442106082032,0.0,41.87596095913223,8.727762115316441,3.7623891912340213
