# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2026-01-12T23:48:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-50.0, 10, -50.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 1.0, "dv": 1.0, "nu": 100, "nv": 100}, "summary": {"unique_hit_cells": 6426, "total_hits": 167976}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 200000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold", "house_centers": [[-20, -20], [-20, 0], [-20, 20], [20, -20], [20, 0], [20, 20]], "house_size": 10.0}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
42,51,190,521.468008672077,8.221120116527686
48,57,177,521.3866938462335,8.222150834721171
48,42,179,521.2019958359487,8.224493090689682
42,48,191,521.1209263231148,8.225521655063927
55,44,184,520.5675000868304,8.23255101387451
55,55,184,520.3018476560654,8.235930045575527
51,42,181,520.1985375501903,8.237244973247565
57,51,187,519.932961069357,8.240627407295706
44,55,183,518.3194732708389,8.261244972712984
44,44,179,518.0544915297211,8.264642163749933
45,56,175,512.2282585955702,8.340145934509714
56,45,186,512.1625775779067,8.341006030747218
43,45,184,511.9649651888822,8.343594987252482
54,56,176,511.89933134794114,8.344455271176654
43,54,180,511.6359088275178,8.347910057959478
54,43,174,509.9995087824096,8.369444259139298
52,57,176,509.85350437384585,8.371371721538138
56,54,179,509.7369064721743,8.372911699231679
45,43,180,509.6713081435271,8.373778377411618
42,52,186,509.5910071463599,8.374839582375618
42,47,187,509.5544052084939,8.37532339050597
47,57,174,508.11848402854616,8.394353636373001
47,42,171,507.6305009152896,8.400843193302057
52,42,169,507.59409571685484,8.40132779185529
57,47,180,507.3684288488739,8.404333112285595
57,52,182,507.3319596652543,8.40481901951629
46,42,165,491.54794291757077,8.621274114928047
53,42,164,490.78260743294663,8.632091507623429
53,57,164,489.36789050882237,8.652168455495008
42,53,176,489.110948484174,8.655826191030416
57,53,176,488.86122270438705,8.659384552712678
46,57,167,488.6043967003465,8.663047539697212
57,46,174,488.59720350019353,8.663150183351686
42,46,175,488.34758872688263,8.666713776348764
44,43,162,478.8778007285269,8.804402706066279
56,44,172,478.6237287467551,8.808165133658788
44,56,167,478.5956118818335,8.808581725974683
55,56,165,478.36984605443774,8.811928391291536
43,44,163,478.34175013519564,8.812345075493871
55,43,160,478.0878283087785,8.816112954150865
43,55,161,476.474924526055,8.840131727642433
56,55,172,476.19356614613343,8.844336780041443
58,49,172,470.7935435679595,8.925928709689623
41,49,173,470.6748913041245,8.927740613928538
50,58,159,470.54198571135333,8.929771163912482
50,41,158,470.42309782097595,8.931588434153694
49,58,161,470.30449566458657,8.933402169789044
41,50,174,470.29045452527174,8.933616950459395
58,50,174,470.1716560000494,8.935434622517715
49,41,157,470.0389502004532,8.937466070841804
42,54,169,467.4583842856724,8.977177703061292
58,48,171,467.3955398365276,8.978149775214668
41,48,170,467.18681424670774,8.981380030969289
51,58,158,467.14500446988427,8.982027398530498
57,54,166,467.1241015558348,8.982351091276254
